"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","pitch_count_fastball","pitch_count_breaking","pitch_count","whiff_percent","swing_percent"
"Albies, Ozzie",645277,2018,684,17,5.3,".324",".301",34,4.7,29.4,"96.721019502","92.378085701",1274,604,2386,22.1,56.8
"Chapman, Matt",656305,2018,616,23.7,9.4,".369",".338",30.5,8.9,47.8,"103.455659303","96.18152783",1505,712,2544,23.7,41.5
"Hoskins, Rhys",656555,2018,660,22.7,13.2,".363",".348",35.8,11.4,39.2,"99.687281602","93.966953625",1653,870,2920,21.9,39.2
"Schwarber, Kyle",656941,2018,510,27.5,15.3,".343",".350",34,12.7,45,"102.880206783","95.766867343",1250,571,2139,30.3,41.7
"Moncada, Yoán",660162,2018,650,33.4,10.3,".311",".297",36.4,9.6,44.2,"100.753027017","94.65083072",1558,605,2679,31.1,41.2
"Pujols, Albert",405395,2019,545,12.5,7.9,".308",".319",26.5,5.8,36.6,"98.702028255","93.397586981",1194,619,2085,18.2,44.5
"Cabrera, Miguel",408234,2019,549,19.7,8.7,".318",".331",38.5,6.4,44.4,"100.398112564","94.438305641",1232,553,2033,24.4,49.6
"Choo, Shin-Soo",425783,2019,660,25,11.8,".353",".362",31.8,8.8,49,"102.002794264","95.652745761",1500,756,2707,29.3,42.4
"Jones, Adam",430945,2019,528,19.1,5.9,".308",".319",31.3,6.7,31,"97.264484508","92.647410494",1142,562,1922,26.7,54.5
"Cruz, Nelson",443558,2019,521,25.1,10.7,".417",".415",38.3,19.9,51.5,"105.351946319","97.322233957",1178,648,2115,32.6,46.2
"Longoria, Evan",446334,2019,508,22,8.5,".322",".351",35.8,7.5,40.8,"99.366085607","93.904958902",1211,585,2018,25.7,46.8
"Fowler, Dexter",451594,2019,574,24.7,12.9,".326",".340",40.6,7.4,28.7,"96.524358779","92.292498076",1365,579,2417,27.1,42.9
"Cabrera, Asdrúbal",452678,2019,514,20,11.1,".331",".317",37.3,5.7,35.3,"97.630785829","92.935685272",1253,518,2089,20.6,45.5
"Blackmon, Charlie",453568,2019,634,16.4,6.3,".387",".367",36.8,8.3,40.3,"99.698822","94.031157328",1486,548,2362,19.7,49.9
"Cain, Lorenzo",456715,2019,623,17,8,".302",".335",31.1,4.1,42.1,"100.238276903","94.349469379",1660,551,2508,19.2,44.7
"Turner, Justin",457759,2019,549,16,9.3,".370",".377",38.6,7.8,43,"99.316567333","94.054303103",1317,586,2151,17.2,45.5
"Votto, Joey",458015,2019,608,20.2,12.5,".332",".347",40.7,6.9,38.2,"98.39220904","93.284395747",1496,545,2458,19.6,41.5
"Gardner, Brett",458731,2019,550,19.6,9.5,".344",".299",29.5,4.1,32.7,"97.488521211","92.787581583",1503,541,2381,19.9,38.7
"Braun, Ryan",460075,2019,508,20.7,6.7,".354",".339",33.3,9.5,45.3,"102.052932898","95.456152393",1222,416,1875,24.9,51.6
"Gordon, Alex",460086,2019,633,15.8,8.1,".319",".330",33.7,5.4,38.4,"98.714198996","93.515087773",1395,591,2350,21.8,48.1
"Andrus, Elvis",462101,2019,648,14.8,5.2,".300",".311",32.5,3.5,34.8,"98.037067647","93.090040864",1383,834,2528,19.6,46.4
"Ramos, Wilson",467092,2019,524,13.2,8.4,".327",".314",25.8,4.7,42.5,"100.551024657","94.552424005",1092,442,1720,20.5,53.9
"Santana, Carlos",467793,2019,686,15.7,15.7,".380",".367",29.1,9.6,44.9,"101.70770382","95.190037742",1549,661,2793,20.4,39.5
"Belt, Brandon",474832,2019,616,20.6,13.5,".319",".346",41.4,8.7,35.7,"97.86413404","92.972052601",1584,563,2514,22.8,46.3
"Brantley, Michael",488726,2019,637,10.4,8,".367",".357",36.3,5.5,37.3,"98.944887791","93.592931345",1446,512,2316,10.7,43.8
"Gurriel, Yuli",493329,2019,612,10.6,6,".364",".321",33.5,3.6,38.1,"99.115304494","93.675495972",1183,602,2085,14.8,49.7
"Rojas, Miguel",500743,2019,526,11.8,6.1,".305",".299",31.9,2.6,28.8,"96.91060967","92.477684269",1147,483,1867,16.5,47.1
"Escobar, Eduardo",500871,2019,699,18.6,7.2,".341",".326",38.6,7,31.4,"96.833323953","92.47242407",1630,616,2691,24.8,52.6
"Davis, Khris",501981,2019,533,27.4,8.8,".289",".317",31.5,9.8,40.4,"100.123268606","94.332532128",1101,605,2066,34.9,51.8
"Pham, Tommy",502054,2019,654,18.8,12.4,".349",".354",29.7,7.9,45,"101.772675315","95.171833612",1561,763,2604,20.2,38.4
"Martinez, J.D.",502110,2019,657,21,11,".386",".400",41.9,12,48.3,"102.267810181","95.582029229",1456,715,2463,26.7,49.5
"Reddick, Josh",502210,2019,550,12,6.5,".308",".316",36,3.4,29.4,"96.674681023","92.339940093",1171,455,1993,14.8,51.3
"Goldschmidt, Paul",502671,2019,682,24.3,11.4,".346",".359",36.4,11.3,42.4,"101.099060419","94.813832214",1639,861,2888,26.3,46.5
"Altuve, Jose",514888,2019,548,15,7.5,".374",".344",28.2,8.1,34.5,"98.232746332","93.15652902",1086,569,1994,20.7,47.6
"Hernández, César",514917,2019,667,15,6.7,".315",".302",32,2.7,28.3,"96.063685391","92.063206289",1530,604,2600,17.2,46
"Segura, Jean",516416,2019,618,11.8,4.9,".315",".310",31,3.2,32.7,"98.140826245","93.158728356",1354,642,2232,14.6,47.5
"Castro, Starlin",516770,2019,676,16.4,4.1,".307",".314",29.6,6.2,37.7,"99.25870618","93.71512167",1530,682,2485,19.1,49.2
"Marte, Starling",516782,2019,586,16,4.3,".353",".362",31.3,8,38.6,"100.167259491","94.183408704",1258,599,2127,25.1,53.7
"Donaldson, Josh",518626,2019,659,23.5,15.2,".377",".385",33.3,15.7,50.5,"103.481444646","96.329034343",1657,714,2742,29.9,43.9
"Freeman, Freddie",518692,2019,692,18.4,12.6,".387",".394",40,12.3,42.5,"100.291077106","94.346356255",1599,629,2750,24.3,52.1
"Grandal, Yasmani",518735,2019,632,22,17.2,".361",".366",37.5,11.3,41.8,"101.083447676","94.798444108",1544,687,2733,25.5,38.5
"Heyward, Jason",518792,2019,589,18.7,11.5,".328",".323",31.8,5.7,36.5,"99.605955423","93.856621272",1319,550,2231,22.7,45.5
"LeMahieu, DJ",518934,2019,655,13.7,7,".375",".378",36.2,7.5,48.7,"101.290348333","95.241788097",1617,573,2463,16,45.6
"Moustakas, Mike",519058,2019,584,16.8,9.1,".348",".350",32.3,10.3,40.8,"100.616091659","94.477699005",1332,568,2233,24.9,49.9
"Rizzo, Anthony",519203,2019,613,14,11.6,".390",".388",36.8,6.8,37,"100.200593521","94.167510706",1434,626,2470,19.7,45.7
"Galvis, Freddy",520471,2019,589,24.6,4.8,".307",".280",31.8,5.5,36.4,"97.641622","92.96163978",1309,545,2289,28.5,54.4
"García, Avisaíl",541645,2019,530,23.6,5.8,".334",".343",34.1,11.7,40.3,"102.26663962","95.27715218",1060,550,1894,32,56.4
"Ozuna, Marcell",542303,2019,549,20.8,11.3,".336",".375",32.8,12.1,49.2,"102.910036923","95.876849368",1192,790,2260,27.6,44.9
"Villar, Jonathan",542340,2019,714,24.6,8.5,".335",".315",30.3,6.8,37.1,"100.064624522","94.076027283",1803,520,2843,27.5,49.8
"Santana, Danny",542454,2019,511,29.5,4.9,".352",".345",37.8,9.5,43.6,"100.974542805","94.798723537",1030,495,1942,32.1,55.8
"Crawford, Brandon",543063,2019,560,20.9,9.5,".281",".306",36.7,5.4,35.1,"97.781885729","92.971044648",1294,527,2179,28.3,51.3
"Hosmer, Eric",543333,2019,667,24.4,6,".309",".304",29.1,7.2,46,"102.123969913","95.383913595",1463,740,2558,28.9,50
"Kipnis, Jason",543401,2019,511,17.2,7.8,".301",".316",33.1,5.5,34.4,"97.701285761","92.914942527",1157,489,1981,20.4,46.3
"Rendon, Anthony",543685,2019,646,13.3,12.4,".413",".414",38.7,12,46.6,"100.105818761","94.364729594",1520,749,2613,12.9,43.1
"Semien, Marcus",543760,2019,747,13.7,11.6,".373",".363",34,8.5,38.1,"98.394543077","93.291025385",1664,851,2965,18.3,42.2
"Springer, George",543807,2019,556,20.3,12.1,".400",".400",31.6,14.1,44.8,"102.243162402","95.348781653",1360,564,2299,26.5,44
"Vázquez, Christian",543877,2019,521,19.4,6.3,".331",".310",38.5,5.9,40.3,"98.607970314","93.531031811",1245,528,2013,20.5,49.9
"Wong, Kolten",543939,2019,549,15.1,8.6,".334",".297",28.6,2.2,25.4,"96.025301799","92.013404021",1159,471,2012,18.4,48
"García, Leury",544725,2019,618,22.5,3.4,".294",".272",30.3,3.8,29.9,"97.233707717","92.660403959",1243,561,2163,24.6,54.4
"Grichuk, Randal",545341,2019,628,26,5.6,".307",".304",31.3,8.5,39.8,"100.740131792","94.423631368",1266,793,2414,28.1,50.2
"Trout, Mike",545361,2019,600,20,18.3,".436",".460",43.8,18.9,44.4,"103.466773886","95.970475845",1616,600,2509,19.2,36.8
"Harper, Bryce",547180,2019,682,26.1,14.5,".365",".387",37.6,14.8,45.6,"103.137354264","96.043547766",1584,739,2787,33.8,48.7
"Abreu, José",547989,2019,693,21.9,5.2,".344",".358",35.2,12.8,48.2,"103.146324797","95.996655894",1602,814,2735,25.3,49.5
"Suárez, Eugenio",553993,2019,662,28.5,10.6,".381",".355",38,13.8,40.8,"100.844864896","94.608867917",1607,726,2728,28.7,44.4
"Santana, Domingo",570267,2019,507,32.3,9.9,".326",".342",40.1,12.1,42.1,"100.050234643","94.228038964",1170,611,2127,31.9,46.8
"Sánchez, Yolmer",570560,2019,555,21.1,7.9,".281",".274",32.1,1,27,"95.805694709","91.918524721",1402,456,2246,22.8,48.8
"Arenado, Nolan",571448,2019,662,14,9.4,".392",".343",34.6,8,37.6,"99.240765317","93.75734495",1439,711,2391,20.9,51.4
"Muncy, Max",571970,2019,589,25.3,15.3,".372",".380",38.9,12,43.4,"100.624856095","94.560041662",1413,768,2581,28.9,40.1
"Voit, Luke",572228,2019,510,27.8,13.9,".360",".368",39.6,13.9,42.4,"101.044367708","94.803622951",1066,690,2016,35.1,47.3
"Walker, Christian",572233,2019,603,25.7,11.1,".346",".364",34.1,13.1,48.8,"102.727625691","95.697243147",1482,650,2413,28.8,48.7
"Iglesias, Jose",578428,2019,530,13.2,3.8,".306",".284",29.7,2.3,24.2,"94.71843919","91.441140476",1159,534,1936,15.3,55.5
"Bryant, Kris",592178,2019,634,22.9,11.7,".379",".349",35.8,9.3,34.1,"98.53167269","93.281246777",1406,741,2486,28.4,48.5
"Castellanos, Nick",592206,2019,664,21.5,6.2,".357",".363",39.8,10.9,41.5,"99.936858686","94.155142055",1323,755,2436,26.9,54.7
"Machado, Manny",592518,2019,661,19.4,9.8,".335",".343",31.2,8,43.7,"102.073663723","95.40263803",1485,648,2418,24.2,46.7
"Moran, Colin",592567,2019,503,23.3,6,".315",".314",37.1,7.4,34.8,"98.556321897","93.372829654",1046,464,1808,24.7,53.7
"Pederson, Joc",592626,2019,514,21.6,9.7,".362",".344",31.4,10.3,43.5,"101.926819048","95.251138896",1215,457,2054,24.1,46.1
"Realmuto, J.T.",592663,2019,593,20.7,6.9,".340",".341",35,8.7,41.1,"101.081746462","94.730632317",1330,730,2332,23.8,50.7
"Rosario, Eddie",592696,2019,590,14.6,3.7,".329",".327",33.2,8.5,36,"98.424787531","93.352567757",1055,573,2068,21.3,59.3
"Yelich, Christian",592885,2019,580,20.3,13.8,".442",".426",33.2,15.8,49.1,"104.869553459","97.015311892",1316,597,2285,28.3,45.2
"Merrifield, Whit",593160,2019,735,17.1,6.1,".340",".325",42.4,4.5,29.2,"96.252648182","92.167329527",1601,792,2773,20.1,49.3
"Bogaerts, Xander",593428,2019,698,17.5,10.9,".390",".356",35.1,8.6,44.5,"101.168690363","94.874752258",1634,867,2862,20.9,41.1
"Alberto, Hanser",593643,2019,550,9.1,2.9,".318",".300",32.5,2.9,18.5,"94.197573506","91.107926269",1011,545,1762,14.5,59.1
"Polanco, Jorge",593871,2019,704,16.5,8.5,".352",".341",41.6,6.7,33.1,"97.46599549","92.78121002",1545,624,2771,17.5,44.9
"Calhoun, Kole",594777,2019,632,25.6,11.1,".330",".339",35.2,11.2,42.6,"99.943105052","94.209946136",1300,625,2389,32.1,48.2
"Eaton, Adam",594809,2019,656,16.2,9.9,".342",".328",33.9,3.8,34.3,"98.729984311","93.47287412",1688,661,2664,17.8,44.6
"Profar, Jurickson",595777,2019,518,14.5,9.3,".301",".328",29.7,6.5,31.3,"97.141906243","92.584582042",1177,437,2061,20.2,45.2
"Báez, Javier",595879,2019,561,27.8,5,".347",".332",36.3,12.7,43.6,"102.448426524","95.481472949",1101,667,2002,35.5,55.5
"Lindor, Francisco",596019,2019,654,15,7,".349",".333",29.8,7.5,41,"101.130645418","94.847008982",1417,550,2426,17.1,51.4
"Odor, Rougned",596059,2019,581,30.6,9,".302",".321",30.6,13.6,45.6,"101.734976168","95.31182003",1331,664,2349,29.2,47.9
"Story, Trevor",596115,2019,656,26.5,8.8,".380",".341",36.5,8.6,46,"101.223764423","95.034883125",1561,832,2684,26.4,48.1
"Vogelbach, Daniel",596129,2019,558,26.7,16.5,".333",".345",39,10.5,38,"100.052249618","94.193186358",1360,760,2532,26.9,34
"Kepler, Max",596146,2019,596,16.6,10.1,".355",".343",30.5,8.9,42.1,"100.805599577","94.514078635",1270,512,2160,20.2,49.4
"Bradley Jr., Jackie",598265,2019,567,27.3,9.9,".314",".318",30.5,9.6,44.8,"100.737430117","94.682078123",1225,584,2210,32.6,48.1
"Núñez, Renato",600524,2019,599,23.9,7.3,".323",".335",32.1,10.7,40.9,"101.416437214","94.827385786",1361,785,2464,27.4,49.5
"Ahmed, Nick",605113,2019,625,18.1,8.3,".315",".321",35.7,6.6,34,"97.728699383","92.939083223",1441,675,2357,21.3,49.5
"Anderson, Brian",605119,2019,520,21.9,8.5,".342",".339",31.3,8.9,46,"100.764886494","94.722101667",1199,512,1925,27.4,47.5
"Bell, Josh",605137,2019,613,19.2,12.1,".378",".383",34.6,12.7,47.2,"103.082487171","96.001241809",1351,526,2442,25.3,48.1
"Betts, Mookie",605141,2019,706,14.3,13.7,".380",".411",39.4,10.3,47.4,"100.567436587","94.76255839",1809,747,2909,14.5,38.3
"Smith, Mallex",605480,2019,566,24.9,7.4,".278",".256",29,2.2,20.1,"94.189873149","91.140372155",1369,546,2242,28.2,48.6
"Arcia, Orlando",606115,2019,546,20,7.9,".269",".277",26.5,4.3,31.3,"97.613876615","92.86605",1202,677,2100,24.6,47.7
"Marte, Ketel",606466,2019,628,13.7,8.4,".405",".375",34.6,9.3,40,"101.092484421","94.7158706",1393,550,2402,17.6,47.8
"Turner, Trea",607208,2019,569,19.9,7.6,".356",".339",29.8,6.8,42,"101.230091659","94.839620073",1304,686,2234,23.4,46.9
"Pillar, Kevin",607680,2019,645,13.8,2.8,".298",".300",33.1,4.9,30.8,"98.016751985","93.018091033",1223,664,2127,17.8,58.9
"Ramírez, José",608070,2019,542,13.7,9.6,".334",".342",32.6,6.3,35.7,"98.625705777","93.428589029",1195,531,2173,14.6,42.5
"Bregman, Alex",608324,2019,690,12,17.2,".418",".373",35.5,4.8,38,"98.440477393","93.337376731",1668,773,2915,14.3,35.1
"Seager, Corey",608369,2019,541,18.1,8.1,".340",".328",35.2,7.3,38.2,"98.778797128","93.502181872",1064,509,1909,25.7,51.1
"Reyes, Franmil",614177,2019,548,28.5,8.6,".338",".359",33.3,14.8,51,"103.847694162","96.604159768",1186,700,2119,36.5,51.5
"Swanson, Dansby",621020,2019,545,22.8,9.4,".317",".350",36.7,10.1,41.6,"99.797419121","94.192917747",1301,688,2223,27.6,45.9
"Newman, Kevin",621028,2019,531,11.7,5.3,".339",".303",33.4,2.1,24.8,"94.991693333","91.524680704",1072,601,1882,13.9,51
"Olson, Matt",621566,2019,547,25.2,9.3,".368",".388",36.1,14.5,50.4,"103.334092275","96.341713994",1343,571,2288,28.1,45.4
"Alonso, Pete",624413,2019,693,26.4,10.4,".384",".380",36.9,15.8,42.7,"103.52161466","95.867841481",1579,824,2762,28,46.6
"Conforto, Michael",624424,2019,648,23,13,".358",".371",35.8,11.9,39.2,"100.0477863","94.1312909",1418,674,2587,27.1,45.8
"Frazier, Adam",624428,2019,608,12.3,6.6,".320",".318",36.4,1.9,28.3,"96.108033475","92.07951087",1410,588,2302,15.6,48.1
"Puig, Yasiel",624577,2019,611,21.8,7.2,".330",".328",30,9.2,39.1,"100.971591932","94.613191138",1469,532,2247,28.2,52.6
"Soler, Jorge",624585,2019,679,26.2,10.8,".378",".396",34.7,16.9,50.1,"104.405603365","96.703293759",1416,912,2750,32.5,44.1
"Meadows, Austin",640457,2019,591,22.2,9.1,".380",".375",38.1,12.5,42.9,"101.27902925","94.853411479",1439,645,2497,23.5,42.2
"Anderson, Tim",641313,2019,518,21,2.9,".363",".321",37.6,5.1,37.6,"98.353274592","93.322923632",985,543,1765,24.5,58.6
"Bellinger, Cody",641355,2019,661,16.3,14.4,".414",".430",39.6,12.7,45.9,"101.221347768","94.966274787",1588,621,2688,23.5,44.6
"Dozier, Hunter",641531,2019,586,25.3,9.4,".360",".338",35.8,10,42.9,"102.015977632","95.204411763",1196,731,2253,27,44.7
"Mancini, Trey",641820,2019,679,21.1,9.3,".373",".362",36.4,10.3,42.7,"101.635240474","95.06039847",1452,870,2722,26.9,48.1
"McMahon, Ryan",641857,2019,539,29.7,10.4,".330",".325",36.6,9,48,"102.348495723","95.712813868",1355,550,2249,32.4,49.6
"Rosario, Amed",642708,2019,655,18.9,4.7,".318",".317",35,4.2,39.5,"98.795593821","93.60288",1332,797,2408,24.2,52
"Adames, Willy",642715,2019,584,26.2,7.9,".313",".320",36.1,8.4,35.6,"99.072984309","93.592578431",1339,735,2338,27.3,47
"Benintendi, Andrew",643217,2019,615,22.8,9.6,".330",".338",40.1,8.1,37.7,"98.241980591","93.339900444",1487,580,2435,25.2,51.4
"McNeil, Jeff",643446,2019,567,13.2,6.2,".384",".350",34.2,4.8,36.7,"98.062735349","93.296269953",1252,490,2067,19.9,60.1
"Albies, Ozzie",645277,2019,702,16,7.7,".354",".346",36.8,6.6,34,"98.232348151","93.247307887",1349,631,2494,22.9,55.6
"Robles, Victor",645302,2019,617,22.7,5.7,".317",".294",34.5,4.8,23,"94.905795816","91.739895663",1317,731,2285,23.5,49.9
"Devers, Rafael",646240,2019,702,17,6.8,".377",".367",33.1,9,48.5,"103.293569886","96.084697628",1561,640,2636,24,55
"Jiménez, Eloy",650391,2019,504,26.6,6,".343",".347",32.4,12.8,47.9,"102.681413214","95.727878512",936,645,1864,32.8,49.9
"Torres, Gleyber",650402,2019,604,21.4,7.9,".358",".340",38.2,10.1,36.8,"99.178781179","93.678797352",1329,767,2393,28,51.8
"Chapman, Matt",656305,2019,670,21.9,10.9,".354",".359",25.1,12.1,49,"103.46333537","96.250434176",1631,767,2805,23.7,42
"Hoskins, Rhys",656555,2019,705,24.5,16.5,".347",".337",31,9.7,38.7,"99.42720995","93.97812603",1899,973,3223,23.2,39.2
"Schwarber, Kyle",656941,2019,610,25.6,11.5,".357",".376",35.6,14.5,51.2,"104.364394516","96.768710054",1391,733,2539,28,43.3
"DeJong, Paul",657557,2019,664,22.4,9.3,".322",".331",33,8.6,33.9,"98.154188241","93.091659652",1491,771,2579,24.2,48.8
"Moncada, Yoán",660162,2019,559,27.5,7.2,".379",".358",40.4,12.2,47.9,"102.936634056","95.959630724",1226,579,2219,31.1,47.5
"Acuña Jr., Ronald",660670,2019,715,26.3,10.6,".369",".390",40.5,15,47.4,"103.398305955","96.011363144",1931,783,3048,27.7,45.5
"Fletcher, David",664058,2019,653,9.8,8.4,".318",".319",37.5,0.2,17.1,"93.20784584","90.716838337",1664,662,2629,9.7,36.3
"Guerrero Jr., Vladimir",665489,2019,514,17.7,8.9,".329",".333",30.9,7.7,38.7,"101.626864628","94.89985352",1113,608,1986,24.5,46.8
"Soto, Juan",665742,2019,659,20,16.4,".394",".409",36.3,12.3,47.8,"102.137286408","95.569584745",1536,782,2788,24,40.8
"Reynolds, Bryan",668804,2019,546,22.2,8.4,".371",".359",37,6.7,41.6,"100.231643152","94.403448207",1183,553,2168,26.3,48
"Cabrera, Miguel",408234,2020,231,22.1,10.4,".323",".379",36.8,9.7,49.7,"102.655113117","96.026886144",483,320,909,31.6,47.7
"Cruz, Nelson",443558,2020,214,27.1,11.7,".411",".383",39.4,15,47.2,"102.723679524","95.93307824",458,281,846,34.2,47.6
"Peralta, David",444482,2020,218,20.6,6,".333",".299",29.4,5,36.3,"100.556636709","94.354591139",505,202,822,21.1,46.6
"Longoria, Evan",446334,2020,209,18.7,5.3,".308",".364",29.9,11.5,45.2,"101.530260256","95.520896474",450,265,794,21,45
"Cabrera, Asdrúbal",452678,2020,213,18.8,8.9,".319",".317",30.5,6.5,38.3,"97.982868684","93.323023224",530,196,849,20.5,46.1
"Blackmon, Charlie",453568,2020,247,17.8,7.7,".340",".331",38.5,4.9,29.7,"97.303074157","92.71975736",569,182,906,23.3,50.2
"Solano, Donovan",456781,2020,203,19.2,4.9,".357",".320",43.4,4.6,34.9,"98.263815526","93.264044768",432,220,746,22,51.9
"McCutchen, Andrew",457705,2020,241,19.9,9.1,".327",".355",36.5,8.2,41.2,"99.22758119","93.968213095",577,296,974,22,40.6
"Votto, Joey",458015,2020,223,19.3,16.6,".347",".369",36.4,9.1,35.7,"98.39738875","93.296095944",558,227,923,22.5,36.2
"Santana, Carlos",467793,2020,255,16.9,18.4,".316",".372",32.3,6.7,36.6,"99.260366296","93.650599074",582,326,1123,20.6,36.3
"Brantley, Michael",488726,2020,187,15,9.1,".362",".325",34.5,4.9,37.3,"98.251374648","93.415636667",467,138,721,16.3,39.9
"Gurriel, Yuli",493329,2020,230,11.7,5.2,".281",".318",34.4,3.7,36.5,"98.527696064","93.454652781",475,195,789,15.6,48.8
"Escobar, Eduardo",500871,2020,222,18.5,6.8,".257",".306",34.8,5.5,31.7,"97.095200488","92.633428037",500,157,811,21.6,51.4
"Martinez, J.D.",502110,2020,237,24.9,9.3,".290",".318",39.6,11,41.6,"99.85455974","94.246308758",554,216,898,28.1,51.9
"Reddick, Josh",502210,2020,210,20,9.5,".304",".303",34.7,4.8,29.3,"96.145119315","92.092886986",527,157,836,22.6,46.5
"Goldschmidt, Paul",502671,2020,231,18.6,16,".387",".396",42.3,10.7,40.9,"99.2678272","93.874685503",566,304,978,23.7,40.6
"Gonzalez, Marwin",503556,2020,199,20.6,8.5,".269",".314",31.9,5.1,38.4,"98.202361739","93.451501168",386,272,802,23.5,43
"Altuve, Jose",514888,2020,210,18.6,8.1,".278",".288",24.8,4.6,33.3,"97.480630811","92.777053741",418,239,762,20.2,50
"Hernández, César",514917,2020,261,21.8,9.2,".335",".330",37.3,4,37.3,"98.999012093","93.787809064",668,246,1076,19.8,43.6
"Segura, Jean",516416,2020,217,20.7,10.6,".333",".318",31.8,6.1,38.5,"99.748813288","93.958321438",494,245,821,22.4,46.8
"Marte, Starling",516782,2020,250,16.4,4.8,".333",".326",30.3,6.4,30.3,"97.604057802","92.829315028",522,260,943,25.4,52.7
"Freeman, Freddie",518692,2020,262,14.1,17.2,".456",".464",49.2,14.7,54.2,"101.812650227","95.798406705",540,269,1021,20.1,48.2
"Grandal, Yasmani",518735,2020,194,29.9,15.5,".338",".327",38.1,7.6,43.8,"99.928859811","94.403731524",466,213,860,30.7,34.1
"LeMahieu, DJ",518934,2020,216,9.7,8.3,".429",".366",29.7,2.9,45.7,"100.540551744","94.953852733",553,192,829,11.2,44.1
"Rizzo, Anthony",519203,2020,243,15.6,11.5,".326",".355",34.7,7.8,34.7,"99.57215061","93.849255427",613,242,985,19.3,42.5
"Flores, Wilmer",527038,2020,213,16.9,6.1,".347",".309",37.4,6.1,34.4,"97.808676707","93.175661718",525,245,892,17.8,48
"García, Avisaíl",541645,2020,207,23.7,9.7,".296",".317",37.1,3.8,37.1,"99.290871364","93.692910455",440,187,724,34.7,54.6
"Ozuna, Marcell",542303,2020,267,22.5,14.2,".444",".434",39.1,15.4,54.4,"103.534352941","96.562612663",578,326,1074,31.4,46.3
"Villar, Jonathan",542340,2020,207,26.1,9.2,".266",".261",18.7,1.5,35.8,"99.470722344","93.853135313",436,197,805,32,51.6
"Aguilar, Jesús",542583,2020,216,18.5,10.6,".347",".345",37.5,7.2,37.5,"99.078188947","93.762450461",521,256,882,22.3,47.3
"Crawford, Brandon",543063,2020,193,24.4,7.8,".334",".309",35.4,9.4,39.4,"98.74086254","93.673056111",389,191,732,31.5,54.6
"Grossman, Robbie",543257,2020,192,19.8,10.9,".351",".328",33.6,5.5,37.5,"98.280297813","93.396949921",401,178,751,18.4,43.4
"Hicks, Aaron",543305,2020,211,18,19.4,".351",".374",29.8,6.9,38.2,"99.738009846","93.99654093",498,200,918,27.9,39.4
"Rendon, Anthony",543685,2020,232,13.4,16.4,".395",".390",39.2,6.3,40.5,"98.602933924","93.634717389",565,238,889,14.7,40.5
